#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2     image_file
#                                                                     mJy        arcsec        arcsec        degree            um                                                            arcsec    arcsec                                                       
    2011.0.00097.S    1    1    2           COSMOS8_field13      0.359332      0.572448      0.382293      -56.3833       876.614   149.8611528     1.8387302   149.8611667     1.8387163   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field14      0.365483      0.584402      0.374887      -57.0392       876.614   149.8635354     1.7764048   149.8635493     1.7763909   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field15      0.357523      0.575876      0.379415      -56.9395       876.614   149.9208477     2.0312590   149.9208616     2.0312451   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field16      0.352368      0.577022      0.379735      -56.2522       876.614   150.0033122     1.9172978   150.0033261     1.9172839   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field17      0.378064      0.598003      0.377227      -56.9172       876.614   150.0049270     2.5036208   150.0049409     2.5036069   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field18      0.351548      0.591888      0.376018      -58.0452       876.614   150.0070097     1.7208376   150.0070235     1.7208237   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field19      0.379348      0.594714      0.381954      -56.2067       876.614   150.0293789     1.9969834   150.0293928     1.9969695   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field19_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field20      0.348178      0.595622      0.379122      -57.6145       876.614   150.0295175     1.7374703   150.0295314     1.7374564   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field20_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field21      0.375694      0.607464      0.374323      -57.5654       876.614   150.0942666     2.1393881   150.0942805     2.1393742   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field21_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field22      0.362375      0.603368       0.37729      -57.0505       876.614   150.1479334     2.3108409   150.1479473     2.3108270   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field22_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field23      0.376899       0.66208      0.363329      -54.2673       876.614   150.1539987     2.2262012   150.1540126     2.2261873   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field23_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field24      0.354425      0.665257      0.362388       -53.319       876.614   150.1705895     2.5669308   150.1706034     2.5669169   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field24_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field25      0.380593      0.669307      0.363939       -54.638       876.614   150.1713977     2.2379381   150.1714116     2.2379242   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field25_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field26      0.383661      0.676842      0.365582       -53.508       876.614   150.2114393     2.0629176   150.2114532     2.0629037   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field26_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field27      0.370773      0.665442      0.364459      -54.3945       876.614   150.2142347     1.7577808   150.2142486     1.7577670   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field27_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field28      0.396395      0.682801      0.366372      -54.0495       876.614   150.3201858     2.0114530   150.3201997     2.0114391   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field28_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field5      0.343181       0.55135      0.383745      -56.5762       876.614   150.0951000     2.1937789   150.0951139     2.1937650   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field5_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field6      0.336626      0.566087      0.382994      -54.3847       876.614   149.6074202     2.6646725   149.6074341     2.6646586   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field7       0.34553      0.557562      0.381212      -56.8592       876.614   149.6315616     2.0700717   149.6315755     2.0700578   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field8       0.36743      0.569099      0.378719      -56.2952       876.614   149.6459448     1.8434934   149.6459587     1.8434795   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2            COSMOS8_field9       0.34452      0.562759      0.378448      -56.4625       876.614   149.6917307     1.8285474   149.6917446     1.8285335   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    3            COSMOS9_field2       0.31816      0.588372      0.413335       81.3506       876.617   150.3297167     2.4382161   150.3297306     2.4382022   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB3_COSMOS9_field2_sci.spw0_1_2_3.cont.I.image.fits
