# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2012.1.00076.S   149.7996             2.1401030555555556   2015-02-28     57081.0            uid://A002/X5ce05d/X40    uid://A002/X5ce05d/X41    uid://A002/X7b492c/X8fc    23.847135374122     
  2012.1.00076.S   149.7778291666667    1.7362938888888888   2015-02-28     57081.0            uid://A002/X5ce05d/X54    uid://A002/X5ce05d/X55    uid://A002/X78cd19/X14ef   26.811865216056987  
  2012.1.00076.S   150.40892083333333   2.0347488888888887   2015-02-28     57081.0            uid://A002/X5ce05d/X4c    uid://A002/X5ce05d/X4d    uid://A002/X78e6fe/X8cf    26.81188063884565   
  2012.1.00076.S   150.25325            1.7419261111111108   2015-02-28     57081.0            uid://A002/X5ce05d/X54    uid://A002/X5ce05d/X55    uid://A002/X78cd19/X14ef   26.811865216056987  
  2012.1.00076.S   150.39309166666666   2.000455             2015-02-28     57081.0            uid://A002/X5ce05d/X4c    uid://A002/X5ce05d/X4d    uid://A002/X78e6fe/X8cf    26.81188063884565   
  2012.1.00076.S   150.54535            1.9082680555555556   2015-03-10     57091.0            uid://A002/X5ce05d/X58    uid://A002/X5ce05d/X59    uid://A002/X78e6fe/Xb88    28.211178249074305  
  2012.1.00076.S   150.36714166666667   2.8276719444444445   2015-03-10     57091.0            uid://A002/X5ce05d/X58    uid://A002/X5ce05d/X59    uid://A002/X78e6fe/Xb88    28.211178249074305  
  2012.1.00919.S   150.1491666666667    2.0204166666666667   2015-03-13     57094.0            uid://A002/X609170/X2b    uid://A002/X609170/X2c    uid://A002/X77c6eb/X35a    69.91320902216233   
  2012.1.00523.S   149.971875           2.118177777777778    2015-03-24     57105.0            uid://A002/X5ce05d/Xe5    uid://A002/X5ce05d/Xe6    uid://A002/X72e960/X1780   21.64085940895719   
  2012.1.00523.S   150.51713333333333   1.9289438888888888   2015-03-26     57107.0            uid://A002/X5ce05d/Xc9    uid://A002/X5ce05d/Xca    uid://A002/X7143f6/X18bb   21.58760752619704   
  2012.1.00523.S   150.039275           2.3372027777777777   2015-03-27     57108.0            uid://A002/X5ce05d/Xc5    uid://A002/X5ce05d/Xc6    uid://A002/X6f6a58/X818    21.182659578579422  
  2012.1.00523.S   149.61880416666668   2.0518919444444443   2015-03-27     57108.0            uid://A002/X5ce05d/Xd9    uid://A002/X5ce05d/Xda    uid://A002/X71a45c/X1463   21.182169219894924  
  2012.1.00523.S   150.2149625          2.5826669444444446   2015-03-27     57108.0            uid://A002/X5ce05d/Xd1    uid://A002/X5ce05d/Xd2    uid://A002/X72c4aa/X8f5    21.26824547014481   
  2012.1.00523.S   150.2470875          1.5554300000000003   2015-04-01     57113.0            uid://A002/X5ce05d/Xe1    uid://A002/X5ce05d/Xe2    uid://A002/X72d23d/X8b4    21.587476810940558  
  2012.1.00523.S   150.08959583333333   2.5864077777777776   2015-04-01     57113.0            uid://A002/X5ce05d/Xe9    uid://A002/X5ce05d/Xea    uid://A002/X72c4aa/X5cb    21.223276355349192  
  2012.1.00523.S   149.8769666666667    2.134135833333333    2015-04-01     57113.0            uid://A002/X5ce05d/Xcd    uid://A002/X5ce05d/Xce    uid://A002/X7310ce/X17f1   21.200109084595272  
  2012.1.00523.S   150.01678333333334   2.6266888888888893   2015-04-01     57113.0            uid://A002/X5ce05d/Xd5    uid://A002/X5ce05d/Xd6    uid://A002/X71a45c/X166a   20.850132508089196  
  2012.1.00523.S   149.96538750000002   2.3784               2015-04-01     57113.0            uid://A002/X5ce05d/Xdd    uid://A002/X5ce05d/Xde    uid://A002/X72ae5e/X72b    21.182084135447088  
