Project code,Source name,RA,Dec,Galactic longitude,Galactic latitude,Band,Spatial resolution,Frequency resolution,Array,Mosaic,Integration,Release date,Frequency support,Velocity resolution,Pol products,Observation date,PI name,SB name,Proposal authors,Line sensitivity (10 km/s),Continuum sensitivity,PWV,Group ous id,Member ous id,Asdm uid,Project title,Project type,Scan intent,Field of view,Largest angular scale,QA2 Status,Pub,Science keyword,Scientific category,ASA_PROJECT_CODE
2013.1.00118.S,AzTECC74,150.2735,2.361,236.77242188809328,42.3372336928035,6,0.93610784864474561,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.848656723235557,0.12283489104332111,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.423523719200325,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC75,150.218125,2.0175277777777776,237.1062903705557,42.09250631047622,6,0.93324962093555874,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.845442670282435,0.12273275529530218,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.409110830660555,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC76,150.05504166666665,2.2019444444444445,236.7764643222573,42.067163173722044,6,0.93415449715837462,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.84716091666501,0.12278735752371081,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.420929855530739,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC77,149.89583333333334,1.9657500000000006,236.9107661830052,41.80048036257737,6,0.93182178139631067,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.8449633326952535,0.1227175229532541,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.413693746490759,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC78,149.761375,1.995,236.77423947083605,41.70807036525622,6,0.93162698714934056,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.845233951432612,0.12272612264901077,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.417949896967802,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC79,149.93208333333334,2.2300833333333334,236.64975622032625,41.983327527215806,6,0.93398227792345412,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.847424606560235,0.12279573702504375,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.4248714799379885,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC8,150.05920833333334,1.943361111111111,237.0628112938898,41.92022389270726,6,0.93216690032293759,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.844756483158338,0.12271094970802501,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.311194775636286,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC80,150.1385,2.4315555555555557,236.58905036954366,42.268110310092304,6,0.93622373062043107,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.8493243789256972,0.12285610769402278,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.429637883756887,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC81,150.02487500000004,1.8781666666666663,237.1070979067881,41.854339231963976,6,0.93155759398276816,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.8441555895679653,0.12269185456338848,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.406980395084422,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
2013.1.00118.S,AzTECC82,150.32020833333334,2.280111111111111,236.89816824244122,42.32828903473647,6,0.93562603720642645,31250.0,12m,,66.528,2016-02-17,"[230.00..232.00GHz,31250.00kHz, XX YY] U [232.00..234.00GHz,31250.00kHz, XX YY] U [246.00..248.00GHz,31250.00kHz, XX YY] U [248.00..250.00GHz,31250.00kHz, XX YY]",39035.47630206707,XX YY,2014-12-09 07:22:36,"Aravena, Manuel",AzTECC1_a_06_TE,"Scott, Kimberly; Riechers, Dominik; Miettinen, Oskari; Bertoldi, Frank; Hayward, Christopher; Karim, Alexander; Padilla, Nelson; Munoz Arancibia, Alejandra; Albrecht, Marcus; Casey, Caitlin; Ilbert, Olivier; Aussel, Herve; Smolcic, Vernesa; Schinnerer, Eva; Navarrete, Felipe; Sheth, Kartik; Capak, Peter;",3.8478944108709454,0.12281066639892728,1.3568039,uid://A001/X12f/Xd,uid://A001/X12f/Xe,uid://A002/X9630c0/Xfa5,Unveiling the population of high-redshift submillimeter galaxies with ALMA 1.2 mm imaging,S,TARGET,26.25,5.418843063235602,Y,4,Sub-mm Galaxies (SMG),Galaxy evolution,2013.1.00118.S
