Project code,Source name,RA,Dec,Galactic longitude,Galactic latitude,Band,Spatial resolution,Frequency resolution,Array,Mosaic,Integration,Release date,Frequency support,Velocity resolution,Pol products,Observation date,PI name,SB name,Proposal authors,Line sensitivity (10 km/s),Continuum sensitivity,PWV,Group ous id,Member ous id,Asdm uid,Project title,Project type,Scan intent,Field of view,Largest angular scale,QA2 Status,COUNT,Science keyword,Scientific category,ASA_PROJECT_CODE
2011.0.00097.S,COSMOShighz_138,149.56051691766265,2.351334369200952,236.22827084742988,41.74950117515056,7,0.50969364710167397,31250.0,12m,mosaic,219.744,2013-11-21,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-10-22 10:32:09,"Scoville, Nick",COSMOShighz_138highSB1,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",4.508992795068294,0.17193387488219766,0.74513733,,uid://A001/X74/X1da,uid://A002/X51ac2a/Xb0f,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3677.176761235947,2.55100770310941,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOShighz_141,149.80444458700626,2.384311960333476,236.38051884206996,41.967861805026224,7,0.49718007028798428,31250.0,12m,mosaic,219.744,2013-11-21,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-10-20 12:12:10,"Scoville, Nick",COSMOShighz_141highSB2,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",4.308644521311518,0.16401831992943885,0.61797196,,uid://A001/X74/X1dc,uid://A002/X517008/X617,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3016.1773300099485,2.6074809658428064,Y,5,,,2011.0.00097.S
2011.0.00097.S,COSMOShighz_202,150.55626118221815,2.013110240196542,237.37653775986882,42.363547608027595,7,0.60441981484644169,31250.0,12m,mosaic,219.744,2013-11-21,"[334.00..336.00GHz,31250.00kHz, XX YY] U [335.90..337.90GHz,31250.00kHz, XX YY] U [346.00..348.00GHz,31250.00kHz, XX YY] U [347.90..349.90GHz,31250.00kHz, XX YY]",26775.596068514304,XX YY,2012-10-20 09:31:44,"Scoville, Nick",COSMOShighz_202highSB6,"Capak, Peter; Sanders, David; Aussel, Herve; Manohar, Swarnima; Sheth, Kartik; Robertson, Brant; Kartaltepe, Jeyhan; Lilly, Simon;",4.304690123765109,0.16386587502099478,0.62689185,,uid://A002/X303d22/X6,uid://A002/X517008/X438,Evolution of the ISM Contents of Massive Galaxies z = 2.2 to 0.3,S,TARGET,3489.117022189949,3.1789803508013277,Y,5,,,2011.0.00097.S
2011.0.00539.S,COS01-1,150.43483333333333,2.9523944444444443,236.2429617018779,42.81020560575784,7,0.59342599014859254,31250.0,12m,,362.88,2013-12-03,"[334.99..336.99GHz,31250.00kHz, XX YY] U [336.93..338.93GHz,31250.00kHz, XX YY] U [346.99..348.99GHz,31250.00kHz, XX YY] U [348.99..350.99GHz,31250.00kHz, XX YY]",26691.926815626444,XX YY,2012-11-05 12:14:13,"Riechers, Dominik",COS01,"Chapman, Scott; Conley, Alexander; Omont, Alain; Burgarella, Denis; Dunlop, James; Gavazzi, Raphael; Glenn, Jason; Magdis, Georgios; De Bernardis, Francesco; Ivison, Rob; Wardlow, Julie; Oliver, Sebastian; Cooray, Asantha; Rigopoulou, Dimitra; Casey, Caitlin; Vieira, Joaquin; Bridge, Carrie; Clements, David; Bock, James; Perez-Fournon, Ismael;",3.4974529455264456,0.13388385441377385,0.6984607,,uid://A002/X391d0b/X171,uid://A002/X535168/Xa18,Lensing Properties of the Brightest Herschel-Selected Submillimeter Galaxies,S,TARGET,18.367634769786847,2.8060815467750593,Y,4,,,2011.0.00539.S
2011.0.00539.S,COS01-2,150.23775,2.3361944444444442,236.77174347694927,42.29374829109917,7,0.59099369350418873,31250.0,12m,,362.88,2013-12-03,"[334.99..336.99GHz,31250.00kHz, XX YY] U [336.93..338.93GHz,31250.00kHz, XX YY] U [346.99..348.99GHz,31250.00kHz, XX YY] U [348.99..350.99GHz,31250.00kHz, XX YY]",26691.926815626444,XX YY,2012-11-05 12:14:13,"Riechers, Dominik",COS01,"Chapman, Scott; Conley, Alexander; Omont, Alain; Burgarella, Denis; Dunlop, James; Gavazzi, Raphael; Glenn, Jason; Magdis, Georgios; De Bernardis, Francesco; Ivison, Rob; Wardlow, Julie; Oliver, Sebastian; Cooray, Asantha; Rigopoulou, Dimitra; Casey, Caitlin; Vieira, Joaquin; Bridge, Carrie; Clements, David; Bock, James; Perez-Fournon, Ismael;",3.4908778330877195,0.1336236858870458,0.6984607,,uid://A002/X391d0b/X171,uid://A002/X535168/Xa18,Lensing Properties of the Brightest Herschel-Selected Submillimeter Galaxies,S,TARGET,18.367634769786847,2.794580158491686,Y,4,,,2011.0.00539.S
2011.0.00742.S,SDSS J100038.01+020822.4,150.158092,2.1395555555555554,236.9254891048996,42.11477292997249,9,0.27910537970469401,31250.0,12m,,1512,2014-02-11,"[667.84..669.84GHz,31250.00kHz, XX YY] U [669.61..671.61GHz,31250.00kHz, XX YY] U [671.42..673.42GHz,31250.00kHz, XX YY] U [673.22..675.22GHz,31250.00kHz, XX YY]",13874.920294950462,XX YY,2012-12-01 09:46:02,"Stacey, Gordon",SDSS J100038.01+020822.4,"Ferkinhoff, Carl; Nikola, Thomas; Falgarone, Edith; Sheth, Kartik; Brisbin, Drew; Hailey-Dunsheath, Steven;",12.328129119755607,0.6614743209526198,0.58592117,,uid://A001/X74/X1c6,uid://A002/X569422/X50d,ALMA Imaging of the Star Formation Process at the Historic Peak,S,TARGET,9.381545530141459,1.2593322721132887,Y,0,,,2011.0.00742.S
2011.0.00064.S,AzTEC-3,150.08793750250462,2.5876805571215087,236.37727826745555,42.31696631529013,7,0.63578351781549813,976.5625,12m,mosaic,1893.385,2014-02-20,"[288.96..290.84GHz,976.56kHz, XX YY] U [290.79..292.66GHz,976.56kHz, XX YY] U [300.84..302.71GHz,976.56kHz, XX YY] U [302.71..304.59GHz,976.56kHz, XX YY]",961.1944469304797,XX YY,2012-11-17 13:12:45,"Riechers, Dominik",AzTEC-3-compact,"Scoville, Nick; Capak, Peter; Bertoldi, Frank; Yun, Min; Cox, Pierre; Yan, Lin; carilli, Chris; Smolcic, Vernesa; Schinnerer, Eva;",1.1872269652979843,0.04667690245669442,0.70931906,,uid://A001/X74/Xd7,uid://A002/X55186e/X64,Clustered Massive Galaxy Formation around a z=5.3 Submillimeter Galaxy,S,TARGET,28.870530846757465,5.531740233746891,Y,3,,,2011.0.00064.S
2012.1.00323.S,113083,150.200089,2.0186510000000024,237.09090176549205,42.078516105362205,3,1.7804254878834607,976.5625,12m,,90.72,2015-01-13,"[105.07..106.94GHz,976.56kHz, XX YY]",2737.5942199802457,XX YY,2013-12-29 09:21:47,"Popping, Gergö",B3_ISM_CO2-1,"Caputi, Karina; Spaans, Marco; Trager, Scott; Somerville, Rachel; Perez-Beaupuits, Juan-Pablo;",5.7607175123687435,0.25008040640147194,5.890106,uid://A002/X67ccb6/Xf,uid://A002/X67ccb6/X10,uid://A002/X7776f1/X1ba9,The nature of the ISM in galaxies during the star-formation activity peak of the Universe v2,S,TARGET WVR,59.430837227333754,9.218413342029683,Y,2,Galaxy structure & evolution,Galaxy evolution,2012.1.00323.S
2012.1.00323.S,1374240,150.760406,1.70192,237.88073803019734,42.34632655909076,3,1.7677278407651091,976.5625,12m,,90.72,2015-01-13,"[105.07..106.94GHz,976.56kHz, XX YY]",2737.5942199802457,XX YY,2013-12-29 09:21:47,"Popping, Gergö",B3_ISM_CO2-1,"Caputi, Karina; Spaans, Marco; Trager, Scott; Somerville, Rachel; Perez-Beaupuits, Juan-Pablo;",5.756390136784588,0.24989254927388085,5.890106,uid://A002/X67ccb6/Xf,uid://A002/X67ccb6/X10,uid://A002/X7776f1/X1ba9,The nature of the ISM in galaxies during the star-formation activity peak of the Universe v2,S,TARGET WVR,59.430837227333754,9.15266941710568,Y,2,Galaxy structure & evolution,Galaxy evolution,2012.1.00323.S
2012.1.00919.S,GALEX0959+0151,149.91791666666668,1.855833333333333,237.0478505187316,41.754458198264196,3,2.3175555348502828,488.28125,12m,,514.08,2015-01-28,"[89.70..91.70GHz,31250.00kHz, XX YY] U [91.71..92.65GHz,488.28kHz, XX YY]",1579.933553090726,XX YY,2013-12-29 09:58:41,"Kakazu, Yuko",GALEX0959+0151_92_12m_C32-2,"Scoville, Nick; Capak, Peter; Wang, Wei-Hao; Nagao, Tohru; Sheth, Kartik;",2.3994395077448454,0.07746856979567011,5.7570124,uid://A002/X609170/X27,uid://A002/X609170/X28,uid://A002/X7776f1/X1cc7,Probing molecular gas in low-z analogs of primordial galaxies,S,TARGET WVR,69.09612767120838,11.999482712840718,Y,1,"Low-mass star formation, Astrochemistry",ISM and star formation,2012.1.00919.S
