#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2                       OBS_DATE     image_file
# 
    2011.0.00097.S    1    1    2           COSMOS8_field12      0.341268      0.606441      0.419603      -57.0944       876.714   149.8423972     2.3006074   149.8424111     2.3005935   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field13      0.348005      0.606897      0.417807      -57.0382       876.714   149.8611528     1.8387302   149.8611667     1.8387163   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field14      0.347846      0.611327      0.416685      -56.6333       876.714   149.8635354     1.7764048   149.8635493     1.7763909   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field15      0.341151      0.613929      0.415281      -57.3059       876.714   149.9208477     2.0312590   149.9208616     2.0312451   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field16      0.340864      0.611635      0.417941       -56.889       876.714   150.0033122     1.9172978   150.0033261     1.9172839   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field17      0.350492      0.622855      0.416835      -57.3037       876.714   150.0049270     2.5036208   150.0049409     2.5036069   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field18      0.340724      0.622741      0.416697      -57.6512       876.714   150.0070097     1.7208376   150.0070235     1.7208237   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field19      0.350715      0.625774      0.417731      -57.7294       876.714   150.0293789     1.9969834   150.0293928     1.9969695   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field19_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field20      0.336685      0.633102       0.41514       -58.013       876.714   150.0295175     1.7374703   150.0295314     1.7374564   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field20_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field21      0.348963      0.635768      0.414202      -57.7799       876.714   150.0942666     2.1393881   150.0942805     2.1393742   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field21_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field22      0.363816      0.637442      0.417663      -57.4971       876.714   150.1479334     2.3108409   150.1479473     2.3108270   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field22_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field23      0.371234      0.699255      0.401368       -55.636       876.714   150.1539987     2.2262012   150.1540126     2.2261873   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field23_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field24      0.353165      0.703795      0.401019      -55.5337       876.714   150.1705895     2.5669308   150.1706034     2.5669169   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field24_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field25      0.367087      0.705561      0.401437      -55.7573       876.714   150.1713977     2.2379381   150.1714116     2.2379242   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field25_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field26       0.35456      0.710765      0.401604      -56.2808       876.714   150.2114393     2.0629176   150.2114532     2.0629037   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field26_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field27      0.359568      0.707451      0.403503      -56.0591       876.714   150.2142347     1.7577808   150.2142486     1.7577670   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field27_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    2           COSMOS8_field28      0.369239      0.704835      0.400558      -56.0945       876.714   150.3201858     2.0114530   150.3201997     2.0114391   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-22T01:53:19.104000     2011.0.00097.S_SB1_GB1_MB2_COSMOS8_field28_sci.spw0_1_2_3.cont.I.image.fits
